  skipping invalid sequence (chars=['N'])
Batch 157/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 158/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 159/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 160/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 161/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 162/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 163/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 164/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 165/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 166/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 167/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 168/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 169/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 170/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 171/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 172/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 173/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 174/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 175/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 176/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 177/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 178/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 179/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 180/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 181/466: RSS 109.2 -> 109.2 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 182/466: RSS 109.2 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 183/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 184/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 185/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 186/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 187/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 188/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 189/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 190/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 191/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 192/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 193/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 194/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
Batch 195/466: RSS 109.3 -> 109.3 MB after gc (baseline 125.7 MB, +-16.4 MB)
