Batch 135/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 136/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 137/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 138/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 139/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 140/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 141/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 142/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 143/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 144/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 145/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 146/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 147/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 148/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 149/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 150/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 151/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 152/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 153/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 154/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 155/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 156/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 157/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 158/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 159/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 160/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 161/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 162/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 163/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.2 MB)
Batch 164/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 165/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 166/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 167/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 168/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 169/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 170/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 171/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 172/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 173/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 174/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 175/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 176/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 177/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 178/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 179/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 180/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 181/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 182/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 183/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 184/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 185/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 186/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 187/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 188/1198: RSS 110.2 -> 110.2 MB after gc (baseline 128.3 MB, +-18.1 MB)
Batch 189/1198: RSS 110.2 -> 104.6 MB after gc (baseline 128.3 MB, +-23.7 MB)
Batch 190/1198: RSS 104.7 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 191/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 192/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 193/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 194/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 195/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 196/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 197/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 198/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 199/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 200/1198: RSS 105.2 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 201/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 202/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 203/1198: RSS 105.1 -> 105.1 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 204/1198: RSS 105.1 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 205/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 206/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 207/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.2 MB)
Batch 208/1198: RSS 105.2 -> 105.2 MB after gc (baseline 128.3 MB, +-23.1 MB)
